"game_id","team_id","HoA","won","settled_in","head_coach","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","faceOffWinPercentage","giveaways","takeaways"
"2012030221","3","away",FALSE,"OT","John Tortorella",2,35,44,8,3,0,44.8,17,7
"2012030221","6","home",TRUE,"OT","Claude Julien",3,48,51,6,4,1,55.2,4,5
"2012030222","3","away",FALSE,"REG","John Tortorella",2,37,33,11,5,0,51.7,1,4
"2012030222","6","home",TRUE,"REG","Claude Julien",5,32,36,19,1,0,48.3,16,6
"2015030141","5","home",TRUE,"REG","Mike Sullivan",5,31,35,10,5,1,51.5,10,4
"2015030142","3","away",TRUE,"REG","Alain Vigneault",4,28,57,19,3,0,44.3,3,3
"2015030142","5","home",FALSE,"REG","Mike Sullivan",2,31,25,15,5,2,55.7,10,2
"2015030143","5","away",TRUE,"REG","Mike Sullivan",3,31,30,12,3,1,53.2,5,6
"2015030143","3","home",FALSE,"REG","Alain Vigneault",1,17,41,10,4,0,46.8,11,11
"2015030144","5","away",TRUE,"REG","Mike Sullivan",5,32,22,10,6,3,42.3,9,8
"2015030144","3","home",FALSE,"REG","Alain Vigneault",0,31,29,14,4,0,57.7,17,8
"2015030145","3","away",FALSE,"REG","Alain Vigneault",3,41,47,6,3,1,63.5,5,5
"2012030312","6","away",TRUE,"REG","Claude Julien",6,29,19,6,1,0,50.9,2,5
